全国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行为流出地，列为流入地,安徽省,北京市,福建省,甘肃省,广东省,广西壮族自治区,贵州省,海南省,河北省,河南省,黑龙江省,湖北省,湖南省,吉林省,江苏省,江西省,辽宁省,宁夏回族自治区,青海省,山东省,山西省,陕西省,上海市,四川省,天津市,西藏自治区,新疆维吾尔自治区,云南省,浙江省,重庆市
江苏省,0.087835294,0.157435294,0.670994118,0.726464706,0.408676471,0.910864706,0.354788235,0.556323529,0.097441176,0.244988235,0.113541176,0.162011765,4.491364706,,,,,,,,,,,,,,,,,
江西省,0.018970588,0.054947059,0.156364706,0.231282353,0.070488235,0.227323529,0.094223529,0.136482353,0.028425,0.069676471,0.039394118,0.043329412,1.170907353,,,,,,,,,,,,,,,,,
辽宁省,0.077823529,0.190076471,0.707029412,17.19480588,0.505223529,1.27,2.427947059,14.50462353,0.079576471,0.435558824,0.858064706,2.408405882,40.65913529,,,,,,,,,,,,,,,,,
宁夏回族自治区,5.735429412,1.326070588,0.591758824,0.135752941,5.720047059,0.595864706,0.016775,0.051982353,3.821770588,0.183935294,0.052064706,0.0138,18.24525147,,,,,,,,,,,,,,,,,
青海省,0.054305882,0.054176471,0.053241176,0.048429412,0.116776471,0.0821,0.01485,0.015753333,0.06,0.020594118,0.009052941,0.009516667,0.538796471,,,,,,,,,,,,,,,,,
山东省,0.169841176,0.3272,0.920894118,1.843064706,1.150794118,1.397229412,1.074211765,1.241041176,0.151958824,0.576923529,0.259158824,0.475058824,9.587376471,,,,,,,,,,,,,,,,,
山西省,0.166417647,0.453623529,2.490841176,0.561758824,7.646235294,4.491911765,0.126876471,0.183317647,0.343358824,7.057505882,0.337976471,0.072823529,23.93264706,,,,,,,,,,,,,,,,,
陕西省,0.336741176,0.742276471,1.969676471,0.446288235,20.59061765,1.508235294,0.124588235,0.180852941,0.698923529,0.393629412,0.100811765,0.068605882,27.16124706,,,,,,,,,,,,,,,,,
上海市,0.035888235,0.125352941,0.456576471,0.366694118,0.307076471,0.670323529,0.250252941,0.222429412,0.073976471,0.111488235,0.062505882,0.085605882,2.768170588,,,,,,,,,,,,,,,,,
四川省,0.084876471,0.138123529,0.451876471,0.274029412,0.250923529,0.705723529,0.110470588,0.096370588,0.089470588,0.117676471,0.046035294,0.056247059,2.421823529,,,,,,,,,,,,,,,,,
天津市,0.084464706,0.412111765,1.083170588,2.707776471,0.556247059,1.574711765,0.922611765,1.629105882,0.170264706,0.9038,0.419923529,0.426564706,10.89075294,,,,,,,,,,,,,,,,,
西藏自治区,0.004942857,0.006183333,0.013345455,0.010142857,0.009625,0.017733333,0.00776,0.009133333,0.0059,0.0047,0.0034,0.003,0.095866169,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,1.231923529,0.187405882,0.167129412,0.194823529,0.092717647,0.218823529,0.023882353,0.112894118,0.044376471,0.064394118,0.020282353,0.036688235,2.395341176,,,,,,,,,,,,,,,,,
云南省,0.024517647,0.044535294,0.134047059,0.106017647,0.059676471,0.291776471,0.057552941,0.052947059,0.024147059,0.034482353,0.024023529,0.030005882,0.883729412,,,,,,,,,,,,,,,,,
浙江省,0.030052941,0.0864,0.383476471,0.433170588,0.190011765,0.684817647,0.269505882,0.355535294,0.063005882,0.139776471,0.068911765,0.132952941,2.837617647,,,,,,,,,,,,,,,,,
重庆市,0.038364706,0.0703,0.193452941,0.126770588,0.163676471,0.2644,0.063005882,0.056788235,0.039223529,0.031705882,0.0292,0.02534375,1.102231985,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
环渤海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行为流出地，列为流入地,保定市,北京市,沧州市,大连市,葫芦岛市,济南市,秦皇岛市,青岛市,沈阳市,石家庄市,唐山市,天津市,烟台市,整个区域,,,,,,,,,,,,,,,,
阿拉善盟,0.031494118,0.314735294,0.023694118,0.010416667,0.009333333,0.015016667,0.021475,0.011342857,0.011925,0.052276471,0.033870588,0.037982353,0.02049,0.594052465,,,,,,,,,,,,,,,,
巴彦淖尔,0.197458824,1.227170588,0.083464706,0.02464,0.015166667,0.039221429,0.032593333,0.030291667,0.05010625,0.102058824,0.0874,0.264823529,0.01696,2.171355816,,,,,,,,,,,,,,,,
包头,0.463617647,4.146982353,0.222547059,0.100341176,0.0344,0.133388235,0.06115,0.107182353,0.196,0.320111765,0.232123529,0.634876471,0.0791375,6.731858088,,,,,,,,,,,,,,,,
赤峰,0.571594118,6.623741176,0.394288235,0.533452941,0.447217647,0.146817647,0.260941176,0.118541176,2.361864706,0.287417647,1.162223529,1.309770588,0.0748,14.29267059,,,,,,,,,,,,,,,,
鄂尔多斯,0.588552941,2.911994118,0.278376471,0.07548,0.08125,0.149552941,0.09643125,0.0721125,0.144688235,0.450794118,0.292147059,0.410488235,0.15285,5.704717868,,,,,,,,,,,,,,,,
呼和浩特,0.753482353,9.388623529,0.327258824,0.209841176,0.0866,0.265623529,0.106226667,0.201582353,0.528158824,0.606023529,0.287376471,1.261823529,0.105176923,14.12779771,,,,,,,,,,,,,,,,
呼伦贝尔,0.084458824,1.478358824,0.070188235,0.330211765,0.0857,0.072411765,0.108105882,0.163858824,0.542011765,0.055352941,0.080188235,0.396041176,0.061111765,3.528,,,,,,,,,,,,,,,,
通辽,0.137988235,2.401252941,0.101429412,0.570188235,0.244470588,0.101105882,0.132417647,0.087676471,7.460341176,0.078494118,0.253952941,0.554317647,0.039664706,12.1633,,,,,,,,,,,,,,,,
乌海,0.050452941,0.547035294,0.0379,0.018027273,0.01152,0.01532,0.0254,0.020708333,0.01836,0.054305882,0.097223529,0.085758824,0.020285714,1.002297791,,,,,,,,,,,,,,,,
乌兰察布,0.371117647,3.331705882,0.175858824,0.0255625,0.027913333,0.041529412,0.0375625,0.0319,0.102017647,0.224694118,0.209970588,0.541870588,0.02166,5.143363039,,,,,,,,,,,,,,,,
锡林郭勒盟,0.239435294,2.800805882,0.215911765,0.03412,0.02345,0.042394118,0.0224625,0.024471429,0.127035294,0.147941176,0.148729412,0.308458824,0.019311111,4.154526804,,,,,,,,,,,,,,,,
兴安盟,0.047417647,0.891870588,0.029605882,0.201088235,0.050217647,0.027158824,0.036535294,0.021547059,0.834952941,0.036852941,0.052352941,0.198523529,0.020205882,2.448329412,,,,,,,,,,,,,,,,
全省,3.537070588,36.06427647,1.960523529,2.133369969,1.117239216,1.049540448,0.94130125,0.891215021,12.37746184,2.416323529,2.937558824,6.004735294,0.631653601,72.06226958,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行为流出地，列为流入地,阿拉善盟,巴彦淖尔,包头,赤峰,鄂尔多斯,呼和浩特,呼伦贝尔,通辽,乌海,乌兰察布,锡林郭勒盟,兴安盟,全省,,,,,,,,,,,,,,,,,
保定市,0.070576471,0.167841176,0.385635294,0.749405882,0.506605882,0.602541176,0.113123529,0.226635294,0.042723529,0.334458824,0.211376471,0.082282353,3.493205882,,,,,,,,,,,,,,,,,
北京市,0.346,1.191847059,3.659805882,7.460035294,2.413129412,8.044005882,1.783241176,2.994664706,0.503052941,3.158958824,2.357605882,1.046776471,34.95912353,,,,,,,,,,,,,,,,,
沧州市,0.032688235,0.055264706,0.188311765,0.460652941,0.2081,0.266582353,0.090752941,0.139729412,0.019926667,0.168329412,0.170294118,0.051423529,1.852056078,,,,,,,,,,,,,,,,,
大连市,0.014166667,0.060558824,0.218435294,1.375635294,0.086594118,0.343411765,0.848141176,1.341729412,0.022605882,0.089976471,0.058982353,0.514488235,4.97472549,,,,,,,,,,,,,,,,,
葫芦岛市,0.014192308,0.023575,0.042735714,0.538323529,0.05236,0.0764375,0.078564706,0.255411765,0.010866667,0.046571429,0.02725,0.069947059,1.236235676,,,,,,,,,,,,,,,,,
济南市,0.02025,0.048747059,0.1495,0.293611765,0.122235294,0.294635294,0.1046,0.161070588,0.023829412,0.069123529,0.038323529,0.055823529,1.38175,,,,,,,,,,,,,,,,,
秦皇岛市,0.034905882,0.06779375,0.068782353,0.361670588,0.074888235,0.090470588,0.162017647,0.170252941,0.033052941,0.060711765,0.036764706,0.070864706,1.232176103,,,,,,,,,,,,,,,,,
